task_id,type,category,priority,screen_id,route,page_entry,depends_on,requirements_covered,verify,file,wave_id
API-ADMIN-ROUTES,api,API,P0,SCR-005,,"`src/app/api/admin/reports/route.ts`, `src/app/api/admin/settings/outbound/route.ts`",DB-ACCESS,REQ-FUNC-041;REQ-FUNC-042;REQ-FUNC-077,TEST-RLS-BASIC,TASKS/TASK-API-ADMIN-ROUTES.md,W03
API-MATES-ROUTES,api,API,P0,SCR-004,,"`src/app/api/mates/route.ts`, `src/app/api/mates/[id]/route.ts`, `src/app/api/mates/[id]/applications/route.ts`, `src/app/api/applications/[id]/route.ts`, `src/app/api/blocks/route.ts`",DB-ACCESS,REQ-FUNC-030;REQ-FUNC-033;REQ-FUNC-034;REQ-FUNC-035;REQ-FUNC-036;REQ-FUNC-037;REQ-FUNC-039;REQ-FUNC-040,"UNIT-MATE-STATE, TEST-RLS-BASIC",TASKS/TASK-API-MATES-ROUTES.md,W03
CI-LINT-TYPECHECK,devops,CI_DEVOPS,P0,,,`.github/workflows/ci.yml`(또는 동등 CI 설정),,REQ-NF-031,CI 실행 로그,TASKS/TASK-CI-LINT-TYPECHECK.md,W10
CMP-SCR001-DEST-DETAIL-DRAWER,component,COMPONENT,P0,SCR-001,`/`,`src/components/scr001/DestinationDetailDrawer.tsx`,DATA-DESTINATIONS-DOMESTIC;DATA-DESTINATIONS-OVERSEAS;DATA-COUNTRY-SAFETY;SHARED-EXTERNAL-LINK-GUARD,REQ-FUNC-006;REQ-FUNC-009;REQ-FUNC-046;REQ-FUNC-047;REQ-FUNC-048;REQ-FUNC-049;REQ-FUNC-052;REQ-FUNC-053;REQ-FUNC-054,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-DEST-DETAIL-DRAWER.md,W04
CMP-SCR001-DOMESTIC-DEST-CARDS,component,COMPONENT,P0,SCR-001,`/`,`src/components/scr001/DomesticDestinationGrid.tsx`,DATA-DESTINATIONS-DOMESTIC;SHARED-FAVORITES-STORE,REQ-FUNC-001;REQ-FUNC-002;REQ-FUNC-004;REQ-FUNC-005;REQ-FUNC-007;REQ-FUNC-009;REQ-FUNC-010,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-DOMESTIC-DEST-CARDS.md,W04
CMP-SCR001-HERO,component,COMPONENT,P0,SCR-001,`/`,`src/components/scr001/Hero.tsx`,SHARED-UI-KIT-PRIMITIVES,REQ-FUNC-003;REQ-FUNC-067,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-HERO.md,W04
CMP-SCR001-OVERSEAS-DEST-CARDS,component,COMPONENT,P0,SCR-001,`/`,`src/components/scr001/OverseasDestinationGrid.tsx`,DATA-DESTINATIONS-OVERSEAS;SHARED-FAVORITES-STORE,REQ-FUNC-001;REQ-FUNC-002;REQ-FUNC-004;REQ-FUNC-005;REQ-FUNC-007;REQ-FUNC-009;REQ-FUNC-010,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-OVERSEAS-DEST-CARDS.md,W04
CMP-SCR001-RECENT-MATE-CARDS,component,COMPONENT,P1,SCR-001,`/`,`src/components/scr001/RecentMateCards.tsx`,API-MATES-ROUTES;SHARED-SHARE-UTIL,REQ-FUNC-069,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-RECENT-MATE-CARDS.md,W05
CMP-SCR001-SAFETY-PREVIEW-CARDS,component,COMPONENT,P0,SCR-001,`/`,`src/components/scr001/SafetyPreviewCards.tsx`,DATA-COUNTRY-SAFETY,REQ-FUNC-046;REQ-FUNC-050;REQ-FUNC-051;REQ-NF-028,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-SAFETY-PREVIEW-CARDS.md,W05
CMP-SCR001-THEME-MOTIVATION-CHIPS,component,COMPONENT,P1,SCR-001,`/`,`src/components/scr001/ThemeChips.tsx`,SHARED-UI-KIT-PRIMITIVES,REQ-FUNC-002,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR001-THEME-MOTIVATION-CHIPS.md,W05
CMP-SCR002-COUNTRY-CHIPS,component,COMPONENT,P1,SCR-002,`/about`,`src/components/scr002/CountryChips.tsx`,DATA-ABOUT-PROFILE,REQ-FUNC-059,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR002-COUNTRY-CHIPS.md,W06
CMP-SCR002-GALLERY,component,COMPONENT,P1,SCR-002,`/about`,`src/components/scr002/Gallery.tsx`,DATA-ABOUT-PROFILE,REQ-FUNC-061,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR002-GALLERY.md,W06
CMP-SCR002-HERO-STATS,component,COMPONENT,P1,SCR-002,`/about`,`src/components/scr002/HeroStats.tsx`,DATA-ABOUT-PROFILE,REQ-FUNC-057,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR002-HERO-STATS.md,W06
CMP-SCR002-PHILOSOPHY-CHECKLIST,component,COMPONENT,P2,SCR-002,`/about`,`src/components/scr002/PhilosophyChecklist.tsx`,DATA-ABOUT-PROFILE,REQ-FUNC-058;REQ-FUNC-062,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR002-PHILOSOPHY-CHECKLIST.md,W06
CMP-SCR002-RECOMMENDED-GRID,component,COMPONENT,P1,SCR-002,`/about`,`src/components/scr002/RecommendedGrid.tsx`,DATA-ABOUT-PROFILE;DATA-DESTINATIONS-DOMESTIC;DATA-DESTINATIONS-OVERSEAS,REQ-FUNC-063,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR002-RECOMMENDED-GRID.md,W06
CMP-SCR002-TIMELINE,component,COMPONENT,P1,SCR-002,`/about`,`src/components/scr002/Timeline.tsx`,DATA-ABOUT-PROFILE,REQ-FUNC-060,E2E-PUBLIC-SMOKE,TASKS/TASK-CMP-SCR002-TIMELINE.md,W06
CMP-SCR003-FLIGHT-FORM,component,COMPONENT,P0,SCR-003,`/travel-tools`,`src/components/scr003/FlightForm.tsx`,CMP-SCR003-INTRO-TABS-SHELL;SHARED-EXTERNAL-LINK-GUARD,REQ-FUNC-011;REQ-FUNC-012;REQ-FUNC-013;REQ-FUNC-014;REQ-FUNC-015;REQ-FUNC-016;REQ-FUNC-017;REQ-FUNC-018;REQ-NF-017,"UNIT-TRAVEL-DATES, E2E-TRAVEL-TOOLS",TASKS/TASK-CMP-SCR003-FLIGHT-FORM.md,W07
